"text","title"
"PART ONE","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"CHAPTER I","Twenty Thousand Leagues under the Sea"
"A SHIFTING REEF","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The year 1866 was signalised by a remarkable incident, a mysterious and","Twenty Thousand Leagues under the Sea"
"puzzling phenomenon, which doubtless no one has yet forgotten. Not to","Twenty Thousand Leagues under the Sea"
"mention rumours which agitated the maritime population and excited the","Twenty Thousand Leagues under the Sea"
"public mind, even in the interior of continents, seafaring men were","Twenty Thousand Leagues under the Sea"
"particularly excited. Merchants, common sailors, captains of vessels,","Twenty Thousand Leagues under the Sea"
"skippers, both of Europe and America, naval officers of all countries,","Twenty Thousand Leagues under the Sea"
"and the Governments of several states on the two continents, were","Twenty Thousand Leagues under the Sea"
"deeply interested in the matter.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"For some time past, vessels had been met by “an enormous thing,” a long","Twenty Thousand Leagues under the Sea"
"object, spindle-shaped, occasionally phosphorescent, and infinitely","Twenty Thousand Leagues under the Sea"
"larger and more rapid in its movements than a whale.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The facts relating to this apparition (entered in various log-books)","Twenty Thousand Leagues under the Sea"
"agreed in most respects as to the shape of the object or creature in","Twenty Thousand Leagues under the Sea"
"question, the untiring rapidity of its movements, its surprising power","Twenty Thousand Leagues under the Sea"
"of locomotion, and the peculiar life with which it seemed endowed. If","Twenty Thousand Leagues under the Sea"
"it was a cetacean, it surpassed in size all those hitherto classified","Twenty Thousand Leagues under the Sea"
"in science. Taking into consideration the mean of observations made at","Twenty Thousand Leagues under the Sea"
"divers times,—rejecting the timid estimate of those who assigned to","Twenty Thousand Leagues under the Sea"
"this object a length of two hundred feet, equally with the exaggerated","Twenty Thousand Leagues under the Sea"
"opinions which set it down as a mile in width and three in length,—we","Twenty Thousand Leagues under the Sea"
"might fairly conclude that this mysterious being surpassed greatly all","Twenty Thousand Leagues under the Sea"
"dimensions admitted by the ichthyologists of the day, if it existed at","Twenty Thousand Leagues under the Sea"
"all. And that it _did_ exist was an undeniable fact; and, with that","Twenty Thousand Leagues under the Sea"
"tendency which disposes the human mind in favour of the marvellous, we","Twenty Thousand Leagues under the Sea"
"can understand the excitement produced in the entire world by this","Twenty Thousand Leagues under the Sea"
"supernatural apparition. As to classing it in the list of fables, the","Twenty Thousand Leagues under the Sea"
"idea was out of the question.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"On the 20th of July, 1866, the steamer _Governor Higginson_, of the","Twenty Thousand Leagues under the Sea"
"Calcutta and Burnach Steam Navigation Company, had met this moving mass","Twenty Thousand Leagues under the Sea"
"five miles off the east coast of Australia. Captain Baker thought at","Twenty Thousand Leagues under the Sea"
"first that he was in the presence of an unknown sandbank; he even","Twenty Thousand Leagues under the Sea"
"prepared to determine its exact position, when two columns of water,","Twenty Thousand Leagues under the Sea"
"projected by the inexplicable object, shot with a hissing noise a","Twenty Thousand Leagues under the Sea"
"hundred and fifty feet up into the air. Now, unless the sandbank had","Twenty Thousand Leagues under the Sea"
"been submitted to the intermittent eruption of a geyser, the _Governor","Twenty Thousand Leagues under the Sea"
"Higginson_ had to do neither more nor less than with an aquatic mammal,","Twenty Thousand Leagues under the Sea"
"unknown till then, which threw up from its blow-holes columns of water","Twenty Thousand Leagues under the Sea"
"mixed with air and vapour.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Similar facts were observed on the 23rd of July in the same year, in","Twenty Thousand Leagues under the Sea"
"the Pacific Ocean, by the _Columbus_, of the West India and Pacific","Twenty Thousand Leagues under the Sea"
"Steam Navigation Company. But this extraordinary cetaceous creature","Twenty Thousand Leagues under the Sea"
"could transport itself from one place to another with surprising","Twenty Thousand Leagues under the Sea"
"velocity; as, in an interval of three days, the _Governor Higginson_","Twenty Thousand Leagues under the Sea"
"and the _Columbus_ had observed it at two different points of the","Twenty Thousand Leagues under the Sea"
"chart, separated by a distance of more than seven hundred nautical","Twenty Thousand Leagues under the Sea"
"leagues.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Fifteen days later, two thousand miles farther off, the _Helvetia_, of","Twenty Thousand Leagues under the Sea"
"the Compagnie-Nationale, and the _Shannon_, of the Royal Mail Steamship","Twenty Thousand Leagues under the Sea"
"Company, sailing to windward in that portion of the Atlantic lying","Twenty Thousand Leagues under the Sea"
"between the United States and Europe, respectively signalled the","Twenty Thousand Leagues under the Sea"
"monster to each other in 42° 15′ N. lat. and 60° 35′ W. long. In these","Twenty Thousand Leagues under the Sea"
"simultaneous observations they thought themselves justified in","Twenty Thousand Leagues under the Sea"
"estimating the minimum length of the mammal at more than three hundred","Twenty Thousand Leagues under the Sea"
"and fifty feet, as the _Shannon_ and _Helvetia_ were of smaller","Twenty Thousand Leagues under the Sea"
"dimensions than it, though they measured three hundred feet over all.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Now the largest whales, those which frequent those parts of the sea","Twenty Thousand Leagues under the Sea"
"round the Aleutian, Kulammak, and Umgullich islands, have never","Twenty Thousand Leagues under the Sea"
"exceeded the length of sixty yards, if they attain that.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"These reports arriving one after the other, with fresh observations","Twenty Thousand Leagues under the Sea"
"made on board the transatlantic ship _Pereire_, a collision which","Twenty Thousand Leagues under the Sea"
"occurred between the _Etna_ of the Inman line and the monster, a","Twenty Thousand Leagues under the Sea"
"_procès verbal_ directed by the officers of the French frigate","Twenty Thousand Leagues under the Sea"
"_Normandie_, a very accurate survey made by the staff of Commodore","Twenty Thousand Leagues under the Sea"
"Fitz-James on board the _Lord Clyde_, greatly influenced public","Twenty Thousand Leagues under the Sea"
"opinion. Light-thinking people jested upon the phenomenon, but grave","Twenty Thousand Leagues under the Sea"
"practical countries, such as England, America, and Germany, treated the","Twenty Thousand Leagues under the Sea"
"matter more seriously.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"In every place of great resort the monster was the fashion. They sang","Twenty Thousand Leagues under the Sea"
"of it in the cafés, ridiculed it in the papers, and represented it on","Twenty Thousand Leagues under the Sea"
"the stage. All kinds of stories were circulated regarding it. There","Twenty Thousand Leagues under the Sea"
"appeared in the papers caricatures of every gigantic and imaginary","Twenty Thousand Leagues under the Sea"
"creature, from the white whale, the terrible “Moby Dick” of hyperborean","Twenty Thousand Leagues under the Sea"
"regions, to the immense kraken whose tentacles could entangle a ship of","Twenty Thousand Leagues under the Sea"
"five hundred tons, and hurry it into the abyss of the ocean. The","Twenty Thousand Leagues under the Sea"
"legends of ancient times were even resuscitated, and the opinions of","Twenty Thousand Leagues under the Sea"
"Aristotle and Pliny revived, who admitted the existence of these","Twenty Thousand Leagues under the Sea"
"monsters, as well as the Norwegian tales of Bishop Pontoppidan, the","Twenty Thousand Leagues under the Sea"
"accounts of Paul Heggede, and, last of all, the reports of Mr.","Twenty Thousand Leagues under the Sea"
"Harrington (whose good faith no one could suspect), who affirmed that,","Twenty Thousand Leagues under the Sea"
"being on board the _Castillan_, in 1857, he had seen this enormous","Twenty Thousand Leagues under the Sea"
"serpent, which had never until that time frequented any other seas but","Twenty Thousand Leagues under the Sea"
"those of the ancient “_Constitutionnel_.”","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Then burst forth the interminable controversy between the credulous and","Twenty Thousand Leagues under the Sea"
"the incredulous in the societies of savants and the scientific","Twenty Thousand Leagues under the Sea"
"journals. “The question of the monster” inflamed all minds. Editors of","Twenty Thousand Leagues under the Sea"
"scientific journals, quarrelling with believers in the supernatural,","Twenty Thousand Leagues under the Sea"
"spilled seas of ink during this memorable campaign, some even drawing","Twenty Thousand Leagues under the Sea"
"blood; for, from the sea-serpent they came to direct personalities.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"For six months war was waged with various fortune in the leading","Twenty Thousand Leagues under the Sea"
"articles of the Geographical Institution of Brazil, the Royal Academy","Twenty Thousand Leagues under the Sea"
"of Science of Berlin, the British Association, the Smithsonian","Twenty Thousand Leagues under the Sea"
"Institution of Washington, in the discussions of the “Indian","Twenty Thousand Leagues under the Sea"
"Archipelago,” of the Cosmos of the Abbé Moigno, in the Mittheilungen of","Twenty Thousand Leagues under the Sea"
"Petermann, in the scientific chronicles of the great journals of France","Twenty Thousand Leagues under the Sea"
"and other countries. The cheaper journals replied keenly and with","Twenty Thousand Leagues under the Sea"
"inexhaustible zest. These satirical writers parodied a remark of","Twenty Thousand Leagues under the Sea"
"Linnæus, quoted by the adversaries of the monster, maintaining “that","Twenty Thousand Leagues under the Sea"
"nature did not make fools,” and adjured their contemporaries not to","Twenty Thousand Leagues under the Sea"
"give the lie to nature, by admitting the existence of krakens,","Twenty Thousand Leagues under the Sea"
"sea-serpents, “Moby Dicks,” and other lucubrations of delirious","Twenty Thousand Leagues under the Sea"
"sailors. At length an article in a well-known satirical journal by a","Twenty Thousand Leagues under the Sea"
"favourite contributor, the chief of the staff, settled the monster,","Twenty Thousand Leagues under the Sea"
"like Hippolytus, giving it the death-blow amidst an universal burst of","Twenty Thousand Leagues under the Sea"
"laughter. Wit had conquered science.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"During the first months of the year 1867 the question seemed buried,","Twenty Thousand Leagues under the Sea"
"never to revive, when new facts were brought before the public. It was","Twenty Thousand Leagues under the Sea"
"then no longer a scientific problem to be solved, but a real danger","Twenty Thousand Leagues under the Sea"
"seriously to be avoided. The question took quite another shape. The","Twenty Thousand Leagues under the Sea"
"monster became a small island, a rock, a reef, but a reef of indefinite","Twenty Thousand Leagues under the Sea"
"and shifting proportions.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"On the 5th of March, 1867, the _Moravian_, of the Montreal Ocean","Twenty Thousand Leagues under the Sea"
"Company, finding herself during the night in 27° 30′ lat. and 72° 15′","Twenty Thousand Leagues under the Sea"
"long., struck on her starboard quarter a rock, marked in no chart for","Twenty Thousand Leagues under the Sea"
"that part of the sea. Under the combined efforts of the wind and its","Twenty Thousand Leagues under the Sea"
"four hundred horse-power, it was going at the rate of thirteen knots.","Twenty Thousand Leagues under the Sea"
"Had it not been for the superior strength of the hull of the","Twenty Thousand Leagues under the Sea"
"_Moravian_, she would have been broken by the shock and gone down with","Twenty Thousand Leagues under the Sea"
"the 237 passengers she was bringing home from Canada.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The accident happened about five o’clock in the morning, as the day was","Twenty Thousand Leagues under the Sea"
"breaking. The officers of the quarter-deck hurried to the after-part of","Twenty Thousand Leagues under the Sea"
"the vessel. They examined the sea with the most scrupulous attention.","Twenty Thousand Leagues under the Sea"
"They saw nothing but a strong eddy about three cables’ length distant,","Twenty Thousand Leagues under the Sea"
"as if the surface had been violently agitated. The bearings of the","Twenty Thousand Leagues under the Sea"
"place were taken exactly, and the _Moravian_ continued its route","Twenty Thousand Leagues under the Sea"
"without apparent damage. Had it struck on a submerged rock, or on an","Twenty Thousand Leagues under the Sea"
"enormous wreck? they could not tell; but on examination of the ship’s","Twenty Thousand Leagues under the Sea"
"bottom when undergoing repairs, it was found that part of her keel was","Twenty Thousand Leagues under the Sea"
"broken.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"This fact, so grave in itself, might perhaps have been forgotten like","Twenty Thousand Leagues under the Sea"
"many others if, three weeks after, it had not been re-enacted under","Twenty Thousand Leagues under the Sea"
"similar circumstances. But, thanks to the nationality of the victim of","Twenty Thousand Leagues under the Sea"
"the shock, thanks to the reputation of the company to which the vessel","Twenty Thousand Leagues under the Sea"
"belonged, the circumstance became extensively circulated.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The 13th of April, 1867, the sea being beautiful, the breeze","Twenty Thousand Leagues under the Sea"
"favourable, the _Scotia_, of the Cunard Company’s line, found herself","Twenty Thousand Leagues under the Sea"
"in 15° 12′ long. and 45° 37′ lat. She was going at the speed of","Twenty Thousand Leagues under the Sea"
"thirteen knots and a half.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"At seventeen minutes past four in the afternoon, whilst the passengers","Twenty Thousand Leagues under the Sea"
"were assembled at lunch in the great saloon, a slight shock was felt on","Twenty Thousand Leagues under the Sea"
"the hull of the _Scotia_, on her quarter, a little aft of the","Twenty Thousand Leagues under the Sea"
"port-paddle.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The _Scotia_ had not struck, but she had been struck, and seemingly by","Twenty Thousand Leagues under the Sea"
"something rather sharp and penetrating than blunt. The shock had been","Twenty Thousand Leagues under the Sea"
"so slight that no one had been alarmed, had it not been for the shouts","Twenty Thousand Leagues under the Sea"
"of the carpenter’s watch, who rushed on to the bridge, exclaiming, “We","Twenty Thousand Leagues under the Sea"
"are sinking! we are sinking!” At first the passengers were much","Twenty Thousand Leagues under the Sea"
"frightened, but Captain Anderson hastened to reassure them. The danger","Twenty Thousand Leagues under the Sea"
"could not be imminent. The _Scotia_, divided into seven compartments by","Twenty Thousand Leagues under the Sea"
"strong partitions, could brave with impunity any leak. Captain Anderson","Twenty Thousand Leagues under the Sea"
"went down immediately into the hold. He found that the sea was pouring","Twenty Thousand Leagues under the Sea"
"into the fifth compartment; and the rapidity of the influx proved that","Twenty Thousand Leagues under the Sea"
"the force of the water was considerable. Fortunately this compartment","Twenty Thousand Leagues under the Sea"
"did not hold the boilers, or the fires would have been immediately","Twenty Thousand Leagues under the Sea"
"extinguished. Captain Anderson ordered the engines to be stopped at","Twenty Thousand Leagues under the Sea"
"once, and one of the men went down to ascertain the extent of the","Twenty Thousand Leagues under the Sea"
"injury. Some minutes afterwards they discovered the existence of a","Twenty Thousand Leagues under the Sea"
"large hole, of two yards in diameter, in the ship’s bottom. Such a leak","Twenty Thousand Leagues under the Sea"
"could not be stopped; and the _Scotia_, her paddles half submerged, was","Twenty Thousand Leagues under the Sea"
"obliged to continue her course. She was then three hundred miles from","Twenty Thousand Leagues under the Sea"
"Cape Clear, and after three days’ delay, which caused great uneasiness","Twenty Thousand Leagues under the Sea"
"in Liverpool, she entered the basin of the company.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"The engineers visited the _Scotia_, which was put in dry dock. They","Twenty Thousand Leagues under the Sea"
"could scarcely believe it possible; at two yards and a half below","Twenty Thousand Leagues under the Sea"
"water-mark was a regular rent, in the form of an isosceles triangle.","Twenty Thousand Leagues under the Sea"
"The broken place in the iron plates was so perfectly defined that it","Twenty Thousand Leagues under the Sea"
"could not have been more neatly done by a punch. It was clear, then,","Twenty Thousand Leagues under the Sea"
"that the instrument producing the perforation was not of a common","Twenty Thousand Leagues under the Sea"
"stamp; and after having been driven with prodigious strength, and","Twenty Thousand Leagues under the Sea"
"piercing an iron plate 1-3/8 inches thick, had withdrawn itself by a","Twenty Thousand Leagues under the Sea"
"retrograde motion truly inexplicable.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Such was the last fact, which resulted in exciting once more the","Twenty Thousand Leagues under the Sea"
"torrent of public opinion. From this moment all unlucky casualties","Twenty Thousand Leagues under the Sea"
"which could not be otherwise accounted for were put down to the","Twenty Thousand Leagues under the Sea"
"monster. Upon this imaginary creature rested the responsibility of all","Twenty Thousand Leagues under the Sea"
"these shipwrecks, which unfortunately were considerable; for of three","Twenty Thousand Leagues under the Sea"
"thousand ships whose loss was annually recorded at Lloyd’s, the number","Twenty Thousand Leagues under the Sea"
"of sailing and steam ships supposed to be totally lost, from the","Twenty Thousand Leagues under the Sea"
"absence of all news, amounted to not less than two hundred!","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Now, it was the “monster” who, justly or unjustly, was accused of their","Twenty Thousand Leagues under the Sea"
"disappearance, and, thanks to it, communication between the different","Twenty Thousand Leagues under the Sea"
"continents became more and more dangerous. The public demanded","Twenty Thousand Leagues under the Sea"
"peremptorily that the seas should at any price be relieved from this","Twenty Thousand Leagues under the Sea"
"formidable cetacean.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"CHAPTER II","Twenty Thousand Leagues under the Sea"
"PRO AND CON","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"At the period when these events took place, I had just returned from a","Twenty Thousand Leagues under the Sea"
"scientific research in the disagreeable territory of Nebraska, in the","Twenty Thousand Leagues under the Sea"
"United States. In virtue of my office as Assistant Professor in the","Twenty Thousand Leagues under the Sea"
"Museum of Natural History in Paris, the French Government had attached","Twenty Thousand Leagues under the Sea"
"me to that expedition. After six months in Nebraska, I arrived in New","Twenty Thousand Leagues under the Sea"
"York towards the end of March, laden with a precious collection. My","Twenty Thousand Leagues under the Sea"
"departure for France was fixed for the first days in May. Meanwhile, I","Twenty Thousand Leagues under the Sea"
"was occupying myself in classifying my mineralogical, botanical, and","Twenty Thousand Leagues under the Sea"
"zoological riches, when the accident happened to the _Scotia_.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"I was perfectly up in the subject which was the question of the day.","Twenty Thousand Leagues under the Sea"
"How could I be otherwise? I had read and re-read all the American and","Twenty Thousand Leagues under the Sea"
"European papers without being any nearer a conclusion. This mystery","Twenty Thousand Leagues under the Sea"
"puzzled me. Under the impossibility of forming an opinion, I jumped","Twenty Thousand Leagues under the Sea"
"from one extreme to the other. That there really was something could","Twenty Thousand Leagues under the Sea"
"not be doubted, and the incredulous were invited to put their finger on","Twenty Thousand Leagues under the Sea"
"the wound of the _Scotia_.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"On my arrival at New York the question was at its height. The","Twenty Thousand Leagues under the Sea"
"hypothesis of the floating island, and the unapproachable sandbank,","Twenty Thousand Leagues under the Sea"
"supported by minds little competent to form a judgment, was abandoned.","Twenty Thousand Leagues under the Sea"
"And, indeed, unless this shoal had a machine in its stomach, how could","Twenty Thousand Leagues under the Sea"
"it change its position with such astonishing rapidity?","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"From the same cause, the idea of a floating hull of an enormous wreck","Twenty Thousand Leagues under the Sea"
"was given up.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"There remained then only two possible solutions of the question, which","Twenty Thousand Leagues under the Sea"
"created two distinct parties: on one side, those who were for a monster","Twenty Thousand Leagues under the Sea"
"of colossal strength; on the other, those who were for a submarine","Twenty Thousand Leagues under the Sea"
"vessel of enormous motive power.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"But this last hypothesis, plausible as it was, could not stand against","Twenty Thousand Leagues under the Sea"
"inquiries made in both worlds. That a private gentleman should have","Twenty Thousand Leagues under the Sea"
"such a machine at his command was not likely. Where, when, and how was","Twenty Thousand Leagues under the Sea"
"it built? and how could its construction have been kept secret?","Twenty Thousand Leagues under the Sea"
"Certainly a Government might possess such a destructive machine. And in","Twenty Thousand Leagues under the Sea"
"these disastrous times, when the ingenuity of man has multiplied the","Twenty Thousand Leagues under the Sea"
"power of weapons of war, it was possible that, without the knowledge of","Twenty Thousand Leagues under the Sea"
"others, a state might try to work such a formidable engine. After the","Twenty Thousand Leagues under the Sea"
"chassepots came the torpedoes, after the torpedoes the submarine rams,","Twenty Thousand Leagues under the Sea"
"then—the reaction. At least, I hope so.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"But the hypothesis of a war machine fell before the declaration of","Twenty Thousand Leagues under the Sea"
"Governments. As public interest was in question, and transatlantic","Twenty Thousand Leagues under the Sea"
"communications suffered, their veracity could not be doubted. But, how","Twenty Thousand Leagues under the Sea"
"admit that the construction of this submarine boat had escaped the","Twenty Thousand Leagues under the Sea"
"public eye? For a private gentleman to keep the secret under such","Twenty Thousand Leagues under the Sea"
"circumstances would be very difficult, and for a state whose every act","Twenty Thousand Leagues under the Sea"
"is persistently watched by powerful rivals, certainly impossible.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"After inquiries made in England, France, Russia, Prussia, Spain, Italy,","Twenty Thousand Leagues under the Sea"
"and America, even in Turkey, the hypothesis of a submarine monitor was","Twenty Thousand Leagues under the Sea"
"definitely rejected.","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Upon my arrival in New York several persons did me the honour of","Twenty Thousand Leagues under the Sea"
"consulting me on the phenomenon in question. I had published in France","Twenty Thousand Leagues under the Sea"
"a work in quarto, in two volumes, entitled “Mysteries of the Great","Twenty Thousand Leagues under the Sea"
"Submarine Grounds.” This book, highly approved of in the learned world,","Twenty Thousand Leagues under the Sea"
"gained for me a special reputation in this rather obscure branch of","Twenty Thousand Leagues under the Sea"
"Natural History. My advice was asked. As long as I could deny the","Twenty Thousand Leagues under the Sea"
"reality of the fact, I confined myself to a decided negative. But soon,","Twenty Thousand Leagues under the Sea"
"finding myself driven into a corner, I was obliged to explain myself","Twenty Thousand Leagues under the Sea"
"categorically. And even “the Honourable Pierre Aronnax, Professor in","Twenty Thousand Leagues under the Sea"
"the Museum of Paris,” was called upon by the _New York Herald_ to","Twenty Thousand Leagues under the Sea"
"express a definite opinion of some sort. I did something. I spoke, for","Twenty Thousand Leagues under the Sea"
"want of power to hold my tongue. I discussed the question in all its","Twenty Thousand Leagues under the Sea"
